,election,race,candidate,votes
0,2015 Municipal General - 2/24/15,Mayor,RAHM EMANUEL,218217
1,2015 Municipal General - 2/24/15,Mayor,WILLIE WILSON,50960
2,2015 Municipal General - 2/24/15,Mayor,ROBERT W. FIORETTI,35363
3,2015 Municipal General - 2/24/15,Mayor,JESUS ''CHUY'' GARCIA,160414
4,2015 Municipal General - 2/24/15,Mayor,"WILLIAM WALLS, III",13250
0,2015 Municipal General - 2/24/15,W45 Elected School Board,Yes,10624
1,2015 Municipal General - 2/24/15,W45 Elected School Board,No,1860
0,2015 Municipal General - 2/24/15,W46 Elected School Board,Yes,8253
1,2015 Municipal General - 2/24/15,W46 Elected School Board,No,1667
0,2015 Municipal General - 2/24/15,W47 Elected School Board,Yes,10127
1,2015 Municipal General - 2/24/15,W47 Elected School Board,No,1923
0,2015 Municipal General - 2/24/15,W49 Elected School Board,Yes,7438
1,2015 Municipal General - 2/24/15,W49 Elected School Board,No,1113
0,2015 Municipal General - 2/24/15,W50 Elected School Board,Yes,6101
1,2015 Municipal General - 2/24/15,W50 Elected School Board,No,1179
0,2015 Municipal General - 2/24/15,City Clerk,SUSANA A. MENDOZA,392099
0,2015 Municipal General - 2/24/15,City Treasurer,KURT A. SUMMERS,363446
0,2015 Municipal General - 2/24/15,Alderman 1st Ward,PROCO ''JOE'' MORENO,4205
1,2015 Municipal General - 2/24/15,Alderman 1st Ward,ANNE SHAW,2037
2,2015 Municipal General - 2/24/15,Alderman 1st Ward,ANDREW HAMILTON,310
3,2015 Municipal General - 2/24/15,Alderman 1st Ward,RONDA LOCKE,1680
0,2015 Municipal General - 2/24/15,Alderman 2nd Ward,STEPHEN NIKETOPOULOS,1232
1,2015 Municipal General - 2/24/15,Alderman 2nd Ward,BITA BUENROSTRO,1411
2,2015 Municipal General - 2/24/15,Alderman 2nd Ward,BRIAN HOPKINS,2889
3,2015 Municipal General - 2/24/15,Alderman 2nd Ward,ALYX S. PATTISON,2404
4,2015 Municipal General - 2/24/15,Alderman 2nd Ward,CORNELL WILSON,863
5,2015 Municipal General - 2/24/15,Alderman 2nd Ward,STACEY PFINGSTEN,1170
0,2015 Municipal General - 2/24/15,Alderman 3rd Ward,PAT DOWELL,7441
1,2015 Municipal General - 2/24/15,Alderman 3rd Ward,PATRICIA HORTON,2768
0,2015 Municipal General - 2/24/15,Alderman 4th Ward,TRACEY Y BEY,2862
1,2015 Municipal General - 2/24/15,Alderman 4th Ward,WILLIAM D. BURNS,6353
2,2015 Municipal General - 2/24/15,Alderman 4th Ward,NORMAN H BOLDEN,2214
0,2015 Municipal General - 2/24/15,Alderman 5th Ward,LESLIE A. HAIRSTON,5851
1,2015 Municipal General - 2/24/15,Alderman 5th Ward,TIFFANY N. BROOKS,891
2,2015 Municipal General - 2/24/15,Alderman 5th Ward,JOCELYN HARE,821
3,2015 Municipal General - 2/24/15,Alderman 5th Ward,ROBIN BOYD CLARK,599
4,2015 Municipal General - 2/24/15,Alderman 5th Ward,JEDIDIAH L. BROWN,792
5,2015 Municipal General - 2/24/15,Alderman 5th Ward,ANNE MARIE MILES,2181
0,2015 Municipal General - 2/24/15,Alderman 6th Ward,RODERICK T. SAWYER,5990
1,2015 Municipal General - 2/24/15,Alderman 6th Ward,RICHARD A. WOOTEN,2800
2,2015 Municipal General - 2/24/15,Alderman 6th Ward,BRIAN T. GARNER,1869
0,2015 Municipal General - 2/24/15,Alderman 7th Ward,"JOSEPH J. MOSELEY, II",761
1,2015 Municipal General - 2/24/15,Alderman 7th Ward,GREGORY I. MITCHELL,2085
2,2015 Municipal General - 2/24/15,Alderman 7th Ward,LASHONDA CURRY,1333
3,2015 Municipal General - 2/24/15,Alderman 7th Ward,KEIANA BARRETT,1923
4,2015 Municipal General - 2/24/15,Alderman 7th Ward,FLORA ''FLO'' DIGBY,1143
5,2015 Municipal General - 2/24/15,Alderman 7th Ward,NATASHIA L. HOLMES,2642
6,2015 Municipal General - 2/24/15,Alderman 7th Ward,BERNIE RILEY,125
7,2015 Municipal General - 2/24/15,Alderman 7th Ward,MARGIE REID,362
0,2015 Municipal General - 2/24/15,Alderman 8th Ward,MICHELLE A. HARRIS,9167
1,2015 Municipal General - 2/24/15,Alderman 8th Ward,FAHEEM SHABAZZ,2113
2,2015 Municipal General - 2/24/15,Alderman 8th Ward,TARA F. BALDRIDGE,2096
0,2015 Municipal General - 2/24/15,Alderman 9th Ward,ANTHONY A. BEALE,7307
1,2015 Municipal General - 2/24/15,Alderman 9th Ward,MICHAEL E. LAFARGUE,1822
2,2015 Municipal General - 2/24/15,Alderman 9th Ward,HAROLD ''NOONIE'' WARD,1225
3,2015 Municipal General - 2/24/15,Alderman 9th Ward,THEODORE WILLIAMS,1352
0,2015 Municipal General - 2/24/15,Alderman 10th Ward,JOHN A. POPE,4181
1,2015 Municipal General - 2/24/15,Alderman 10th Ward,SUSAN SADLOWSKI GARZA,2287
2,2015 Municipal General - 2/24/15,Alderman 10th Ward,"RICHARD L. MARTINEZ, JR.",1191
3,2015 Municipal General - 2/24/15,Alderman 10th Ward,FRANK J. CORONA,307
4,2015 Municipal General - 2/24/15,Alderman 10th Ward,SAMANTHA M. WEBB,510
5,2015 Municipal General - 2/24/15,Alderman 10th Ward,OLGA BAUTISTA,208
6,2015 Municipal General - 2/24/15,Alderman 10th Ward,JUAN B. HUIZAR,809
0,2015 Municipal General - 2/24/15,Alderman 11th Ward,JOHN K. KOZLAR,3399
1,2015 Municipal General - 2/24/15,Alderman 11th Ward,PATRICK DALEY THOMPSON,4644
2,2015 Municipal General - 2/24/15,Alderman 11th Ward,MAUREEN F. SULLIVAN,1558
0,2015 Municipal General - 2/24/15,Alderman 12th Ward,GEORGE CARDENAS,3379
0,2015 Municipal General - 2/24/15,Alderman 13th Ward,MARTY QUINN,10064
0,2015 Municipal General - 2/24/15,Alderman 14th Ward,EDWARD M. BURKE,5028
0,2015 Municipal General - 2/24/15,Alderman 15th Ward,ADOLFO MONDRAGON,280
1,2015 Municipal General - 2/24/15,Alderman 15th Ward,RAYMOND A. LOPEZ,2168
2,2015 Municipal General - 2/24/15,Alderman 15th Ward,RAFAEL YANEZ,1007
3,2015 Municipal General - 2/24/15,Alderman 15th Ward,EDDIE L. DANIELS,309
4,2015 Municipal General - 2/24/15,Alderman 15th Ward,"OTIS DAVIS, JR.",462
5,2015 Municipal General - 2/24/15,Alderman 15th Ward,RAUL O. REYES,324
0,2015 Municipal General - 2/24/15,Alderman 16th Ward,JOANN THOMPSON,115
1,2015 Municipal General - 2/24/15,Alderman 16th Ward,CYNTHIA LOMAX,357
2,2015 Municipal General - 2/24/15,Alderman 16th Ward,TONI L. FOULKES,2571
3,2015 Municipal General - 2/24/15,Alderman 16th Ward,JOSE A. GARCIA,830
4,2015 Municipal General - 2/24/15,Alderman 16th Ward,STEPHANIE COLEMAN,2096
0,2015 Municipal General - 2/24/15,Alderman 17th Ward,GLENDA FRANKLIN,3064
1,2015 Municipal General - 2/24/15,Alderman 17th Ward,DAVID H. MOORE,4467
2,2015 Municipal General - 2/24/15,Alderman 17th Ward,JAMES E. DUKES,909
0,2015 Municipal General - 2/24/15,Alderman 18th Ward,LONA LANE,3625
1,2015 Municipal General - 2/24/15,Alderman 18th Ward,DERRICK G. CURTIS,3663
2,2015 Municipal General - 2/24/15,Alderman 18th Ward,MICHAEL A. DAVIS,2021
3,2015 Municipal General - 2/24/15,Alderman 18th Ward,CHUKS ONYEZIA,2139
4,2015 Municipal General - 2/24/15,Alderman 18th Ward,CONSANDRA HARRIS,351
5,2015 Municipal General - 2/24/15,Alderman 18th Ward,BRANDON LOGGINS,310
0,2015 Municipal General - 2/24/15,Alderman 19th Ward,MATTHEW J. O'SHEA,13088
1,2015 Municipal General - 2/24/15,Alderman 19th Ward,ANNE SCHAIBLE,4944
0,2015 Municipal General - 2/24/15,Alderman 20th Ward,"WILLIE RAY, JR.",672
1,2015 Municipal General - 2/24/15,Alderman 20th Ward,ANDRE SMITH,1038
2,2015 Municipal General - 2/24/15,Alderman 20th Ward,WILLIE B. COCHRAN,3149
3,2015 Municipal General - 2/24/15,Alderman 20th Ward,KEVIN BAILEY,1365
4,2015 Municipal General - 2/24/15,Alderman 20th Ward,"ERNEST RADCLIFFE, JR.",390
0,2015 Municipal General - 2/24/15,Alderman 21st Ward,MARVIN MCNEIL,1838
1,2015 Municipal General - 2/24/15,Alderman 21st Ward,JEFFREY BAKER,695
2,2015 Municipal General - 2/24/15,Alderman 21st Ward,"HOWARD B. BROOKINS, JR.",5454
3,2015 Municipal General - 2/24/15,Alderman 21st Ward,"JOSEPH C. ZIEGLER, JR.",1376
4,2015 Municipal General - 2/24/15,Alderman 21st Ward,DORIS LEWIS BROOKS,1529
5,2015 Municipal General - 2/24/15,Alderman 21st Ward,PATRICIA A. FOSTER,1365
6,2015 Municipal General - 2/24/15,Alderman 21st Ward,KEN LEWIS,862
0,2015 Municipal General - 2/24/15,Alderman 22nd Ward,RICARDO MUNOZ,2928
1,2015 Municipal General - 2/24/15,Alderman 22nd Ward,NEFTALIE GONZALEZ,669
2,2015 Municipal General - 2/24/15,Alderman 22nd Ward,"RAUL MONTES, JR.",887
3,2015 Municipal General - 2/24/15,Alderman 22nd Ward,ROBERT MARTINEZ,595
0,2015 Municipal General - 2/24/15,Alderman 23rd Ward,MICHAEL R. ZALEWSKI,6434
1,2015 Municipal General - 2/24/15,Alderman 23rd Ward,MARTIN ARTEAGA,1796
2,2015 Municipal General - 2/24/15,Alderman 23rd Ward,ANNA GORAL,1376
0,2015 Municipal General - 2/24/15,Alderman 24th Ward,FRANK M. BASS,772
1,2015 Municipal General - 2/24/15,Alderman 24th Ward,REGINA D. LEWIS,575
2,2015 Municipal General - 2/24/15,Alderman 24th Ward,WALLACE E. JOHNSON,483
3,2015 Municipal General - 2/24/15,Alderman 24th Ward,SHERITA ANN HARRIS,382
4,2015 Municipal General - 2/24/15,Alderman 24th Ward,ROGER L. WASHINGTON,140
5,2015 Municipal General - 2/24/15,Alderman 24th Ward,VETRESS BOYCE,1151
6,2015 Municipal General - 2/24/15,Alderman 24th Ward,LADARIUS R. CURTIS,199
7,2015 Municipal General - 2/24/15,Alderman 24th Ward,DARREN TILLIS,1016
8,2015 Municipal General - 2/24/15,Alderman 24th Ward,LARRY G. NELSON,129
9,2015 Municipal General - 2/24/15,Alderman 24th Ward,"MICHAEL SCOTT, JR.",2200
0,2015 Municipal General - 2/24/15,Alderman 25th Ward,ED HERSHEY,614
1,2015 Municipal General - 2/24/15,Alderman 25th Ward,DANIEL ''DANNY'' SOLIS,3811
2,2015 Municipal General - 2/24/15,Alderman 25th Ward,JORGE MUJICA,907
3,2015 Municipal General - 2/24/15,Alderman 25th Ward,ROBERTO ''BETO'' MONTANO,748
4,2015 Municipal General - 2/24/15,Alderman 25th Ward,BYRON SIGCHO,1383
0,2015 Municipal General - 2/24/15,Alderman 26th Ward,ROBERTO MALDONADO,3466
1,2015 Municipal General - 2/24/15,Alderman 26th Ward,ADAM CORONA,919
2,2015 Municipal General - 2/24/15,Alderman 26th Ward,JUANITA IRIZARRY,2248
0,2015 Municipal General - 2/24/15,Alderman 27th Ward,GABE BEUKINGA,2201
1,2015 Municipal General - 2/24/15,Alderman 27th Ward,"WALTER BURNETT, JR.",6284
0,2015 Municipal General - 2/24/15,Alderman 28th Ward,JASON C. ERVIN,6278
0,2015 Municipal General - 2/24/15,Alderman 29th Ward,DEBORAH L. GRAHAM,4395
1,2015 Municipal General - 2/24/15,Alderman 29th Ward,LAWRENCE ANDOLINO,1549
2,2015 Municipal General - 2/24/15,Alderman 29th Ward,BOB GALHOTRA,722
3,2015 Municipal General - 2/24/15,Alderman 29th Ward,CHRIS TALIAFERRO,2435
4,2015 Municipal General - 2/24/15,Alderman 29th Ward,LaCOULTON J. WALLS,486
5,2015 Municipal General - 2/24/15,Alderman 29th Ward,ZERLINA A. SMITH,505
6,2015 Municipal General - 2/24/15,Alderman 29th Ward,ODDIS ''O.J'' JOHNSON,389
7,2015 Municipal General - 2/24/15,Alderman 29th Ward,STEPHEN ROBINSON,346
0,2015 Municipal General - 2/24/15,Alderman 30th Ward,ARIEL E. REBOYRAS,4119
0,2015 Municipal General - 2/24/15,Alderman 31st Ward,SEAN C. STARR,568
1,2015 Municipal General - 2/24/15,Alderman 31st Ward,IRMA CORNIER,293
2,2015 Municipal General - 2/24/15,Alderman 31st Ward,MILAGROS SANTIAGO,2146
3,2015 Municipal General - 2/24/15,Alderman 31st Ward,REGNER ''RAY'' SUAREZ,2778
0,2015 Municipal General - 2/24/15,Alderman 32nd Ward,SCOTT WAGUESPACK,6425
1,2015 Municipal General - 2/24/15,Alderman 32nd Ward,ELISE DOODY-JONES,1713
0,2015 Municipal General - 2/24/15,Alderman 33rd Ward,TIM MEEGAN,2779
1,2015 Municipal General - 2/24/15,Alderman 33rd Ward,DEBORAH L. MELL,4103
2,2015 Municipal General - 2/24/15,Alderman 33rd Ward,ANNISA WANAT,1289
0,2015 Municipal General - 2/24/15,Alderman 34th Ward,CARRIE M. AUSTIN,7610
1,2015 Municipal General - 2/24/15,Alderman 34th Ward,HENRY MOSES,1400
2,2015 Municipal General - 2/24/15,Alderman 34th Ward,SHIRLEY J. WHITE,2651
3,2015 Municipal General - 2/24/15,Alderman 34th Ward,CHARLES R. THOMAS SR.,769
0,2015 Municipal General - 2/24/15,Alderman 35th Ward,REY COLON,1987
1,2015 Municipal General - 2/24/15,Alderman 35th Ward,CARLOS RAMIREZ-ROSA,4082
0,2015 Municipal General - 2/24/15,Alderman 36th Ward,CHRISTOPHER M VITTORIO,1437
1,2015 Municipal General - 2/24/15,Alderman 36th Ward,OMAR AQUINO,2124
2,2015 Municipal General - 2/24/15,Alderman 36th Ward,GILBERT VILLEGAS,1945
3,2015 Municipal General - 2/24/15,Alderman 36th Ward,ALONSO ZARAGOZA,458
0,2015 Municipal General - 2/24/15,Alderman 37th Ward,LEROY DUNCAN,472
1,2015 Municipal General - 2/24/15,Alderman 37th Ward,EMMA M. MITTS,4033
2,2015 Municipal General - 2/24/15,Alderman 37th Ward,MARETTA BROWN-MILLER,1071
3,2015 Municipal General - 2/24/15,Alderman 37th Ward,TARA STAMPS,2640
0,2015 Municipal General - 2/24/15,Alderman 38th Ward,JERRY PASZEK,1205
1,2015 Municipal General - 2/24/15,Alderman 38th Ward,TOM CARAVETTE,662
2,2015 Municipal General - 2/24/15,Alderman 38th Ward,HEATHER SATTLER,1809
3,2015 Municipal General - 2/24/15,Alderman 38th Ward,NICHOLAS SPOSATO,5992
4,2015 Municipal General - 2/24/15,Alderman 38th Ward,MICHAEL C. DUDA,763
5,2015 Municipal General - 2/24/15,Alderman 38th Ward,CARMEN HERNANDEZ,462
6,2015 Municipal General - 2/24/15,Alderman 38th Ward,BELINDA CADIZ,290
0,2015 Municipal General - 2/24/15,Alderman 39th Ward,MARGARET LAURINO,5981
1,2015 Municipal General - 2/24/15,Alderman 39th Ward,ROBERT MURPHY,4815
2,2015 Municipal General - 2/24/15,Alderman 39th Ward,JOSEPH LAIACONA,446
0,2015 Municipal General - 2/24/15,Alderman 40th Ward,PATRICK J. O'CONNOR,5601
1,2015 Municipal General - 2/24/15,Alderman 40th Ward,DIANNE DALEIDEN,3989
0,2015 Municipal General - 2/24/15,Alderman 41st Ward,MARY O'CONNOR,7132
1,2015 Municipal General - 2/24/15,Alderman 41st Ward,JOE LOMANTO,1459
2,2015 Municipal General - 2/24/15,Alderman 41st Ward,ANTHONY V. NAPOLITANO,6353
0,2015 Municipal General - 2/24/15,Alderman 42nd Ward,BRENDAN REILLY,7171
0,2015 Municipal General - 2/24/15,Alderman 43rd Ward,CAROLINE VICKREY,3682
1,2015 Municipal General - 2/24/15,Alderman 43rd Ward,JENNIFER ''JEN'' KRAMER,1707
2,2015 Municipal General - 2/24/15,Alderman 43rd Ward,MICHELE SMITH,4309
3,2015 Municipal General - 2/24/15,Alderman 43rd Ward,JERRY QUANDT,608
0,2015 Municipal General - 2/24/15,Alderman 44th Ward,MARK THOMAS,2153
1,2015 Municipal General - 2/24/15,Alderman 44th Ward,TOM TUNNEY,6126
2,2015 Municipal General - 2/24/15,Alderman 44th Ward,SCOTT DAVIS,854
0,2015 Municipal General - 2/24/15,Alderman 45th Ward,JOHN GARRIDO,5164
1,2015 Municipal General - 2/24/15,Alderman 45th Ward,JOHN S. ARENA,5914
2,2015 Municipal General - 2/24/15,Alderman 45th Ward,MICHELLE R. BAERT,1726
3,2015 Municipal General - 2/24/15,Alderman 45th Ward,MICHAEL S. DIAZ,204
0,2015 Municipal General - 2/24/15,Alderman 46th Ward,JAMES CAPPLEMAN,4800
1,2015 Municipal General - 2/24/15,Alderman 46th Ward,AMY CRAWFORD,3853
2,2015 Municipal General - 2/24/15,Alderman 46th Ward,DENICE L. DAVIS,1589
0,2015 Municipal General - 2/24/15,Alderman 47th Ward,AMEYA PAWAR,9974
1,2015 Municipal General - 2/24/15,Alderman 47th Ward,RORY A. FIEDLER,2075
0,2015 Municipal General - 2/24/15,Alderman 48th Ward,HARRY OSTERMAN,9456
0,2015 Municipal General - 2/24/15,Alderman 49th Ward,JOE MOORE,5778
1,2015 Municipal General - 2/24/15,Alderman 49th Ward,DON GORDON,2867
0,2015 Municipal General - 2/24/15,Alderman 50th Ward,DEBRA L. SILVERSTEIN,5024
1,2015 Municipal General - 2/24/15,Alderman 50th Ward,SHAJAN M. KURIAKOSE,1406
2,2015 Municipal General - 2/24/15,Alderman 50th Ward,ZEHRA QUADRI,1375
0,2015 Municipal General - 2/24/15,Paid leave for workers,Yes,368485
1,2015 Municipal General - 2/24/15,Paid leave for workers,No,82127
0,2015 Municipal General - 2/24/15,Domestic-abuse treatment,Yes,397923
1,2015 Municipal General - 2/24/15,Domestic-abuse treatment,No,57778
0,2015 Municipal General - 2/24/15,Campaign finance reform,Yes,353930
1,2015 Municipal General - 2/24/15,Campaign finance reform,No,94153
0,2015 Municipal General - 2/24/15,W1 Elected School Board,Yes,6915
1,2015 Municipal General - 2/24/15,W1 Elected School Board,No,1098
0,2015 Municipal General - 2/24/15,W3 Elected School Board,Yes,8877
1,2015 Municipal General - 2/24/15,W3 Elected School Board,No,1231
0,2015 Municipal General - 2/24/15,W4 Elected School Board,Yes,10038
1,2015 Municipal General - 2/24/15,W4 Elected School Board,No,1471
0,2015 Municipal General - 2/24/15,W5 Elected School Board,Yes,9619
1,2015 Municipal General - 2/24/15,W5 Elected School Board,No,1473
0,2015 Municipal General - 2/24/15,W6 Elected School Board,Yes,9832
1,2015 Municipal General - 2/24/15,W6 Elected School Board,No,777
0,2015 Municipal General - 2/24/15,W7 Elected School Board,Yes,9530
1,2015 Municipal General - 2/24/15,W7 Elected School Board,No,746
0,2015 Municipal General - 2/24/15,W8 Elected School Board,Yes,12123
1,2015 Municipal General - 2/24/15,W8 Elected School Board,No,1059
0,2015 Municipal General - 2/24/15,W10 - Petroleum Coke Ban,Yes,7627
1,2015 Municipal General - 2/24/15,W10 - Petroleum Coke Ban,No,1271
0,2015 Municipal General - 2/24/15,W10 Elected School Board,Yes,8198
1,2015 Municipal General - 2/24/15,W10 Elected School Board,No,790
0,2015 Municipal General - 2/24/15,W12 Elected School Board,Yes,4201
1,2015 Municipal General - 2/24/15,W12 Elected School Board,No,477
0,2015 Municipal General - 2/24/15,W14 Elected School Board,Yes,5040
1,2015 Municipal General - 2/24/15,W14 Elected School Board,No,616
0,2015 Municipal General - 2/24/15,W15 Elected School Board,Yes,3950
1,2015 Municipal General - 2/24/15,W15 Elected School Board,No,416
0,2015 Municipal General - 2/24/15,W16 Elected School Board,Yes,5310
1,2015 Municipal General - 2/24/15,W16 Elected School Board,No,457
0,2015 Municipal General - 2/24/15,W16-P30-Form TIF Council,Yes,137
1,2015 Municipal General - 2/24/15,W16-P30-Form TIF Council,No,22
0,2015 Municipal General - 2/24/15,W17 Elected School Board,Yes,7612
1,2015 Municipal General - 2/24/15,W17 Elected School Board,No,665
0,2015 Municipal General - 2/24/15,W19 Elected School Board,Yes,15175
1,2015 Municipal General - 2/24/15,W19 Elected School Board,No,2593
0,2015 Municipal General - 2/24/15,W20 Elected School Board,Yes,6061
1,2015 Municipal General - 2/24/15,W20 Elected School Board,No,497
0,2015 Municipal General - 2/24/15,W21 Elected School Board,Yes,11900
1,2015 Municipal General - 2/24/15,W21 Elected School Board,No,993
0,2015 Municipal General - 2/24/15,W22 Elected School Board,Yes,4548
1,2015 Municipal General - 2/24/15,W22 Elected School Board,No,410
0,2015 Municipal General - 2/24/15,W24 Elected School Board,Yes,6332
1,2015 Municipal General - 2/24/15,W24 Elected School Board,No,471
0,2015 Municipal General - 2/24/15,W25 Elected School Board,Yes,6205
1,2015 Municipal General - 2/24/15,W25 Elected School Board,No,819
0,2015 Municipal General - 2/24/15,W26 Elected School Board,Yes,5784
1,2015 Municipal General - 2/24/15,W26 Elected School Board,No,575
0,2015 Municipal General - 2/24/15,W27 Elected School Board,Yes,7248
1,2015 Municipal General - 2/24/15,W27 Elected School Board,No,941
0,2015 Municipal General - 2/24/15,W28 Elected School Board,Yes,6500
1,2015 Municipal General - 2/24/15,W28 Elected School Board,No,676
0,2015 Municipal General - 2/24/15,W29 Elected School Board,Yes,9600
1,2015 Municipal General - 2/24/15,W29 Elected School Board,No,932
0,2015 Municipal General - 2/24/15,W30 Elected School Board,Yes,4178
1,2015 Municipal General - 2/24/15,W30 Elected School Board,No,622
0,2015 Municipal General - 2/24/15,W31 Elected School Board,Yes,4917
1,2015 Municipal General - 2/24/15,W31 Elected School Board,No,527
0,2015 Municipal General - 2/24/15,W32 Elected School Board,Yes,6906
1,2015 Municipal General - 2/24/15,W32 Elected School Board,No,1395
0,2015 Municipal General - 2/24/15,W33 Elected School Board,Yes,7154
1,2015 Municipal General - 2/24/15,W33 Elected School Board,No,830
0,2015 Municipal General - 2/24/15,W34 Elected School Board,Yes,11185
1,2015 Municipal General - 2/24/15,W34 Elected School Board,No,940
0,2015 Municipal General - 2/24/15,W35 Elected School Board,Yes,5409
1,2015 Municipal General - 2/24/15,W35 Elected School Board,No,558
0,2015 Municipal General - 2/24/15,W36 Elected School Board,Yes,5041
1,2015 Municipal General - 2/24/15,W36 Elected School Board,No,645
0,2015 Municipal General - 2/24/15,W37 Elected School Board,Yes,7269
1,2015 Municipal General - 2/24/15,W37 Elected School Board,No,592
0,2015 Municipal General - 2/24/15,W40 Elected School Board,Yes,8152
1,2015 Municipal General - 2/24/15,W40 Elected School Board,No,1226
0,2019 Municipal General - 2/26/19,Mayoral candidates 8-14,SUSANA A. MENDOZA,50373
1,2019 Municipal General - 2/26/19,Mayoral candidates 8-14,AMARA ENYIA,44589
2,2019 Municipal General - 2/26/19,Mayoral candidates 8-14,LA SHAWN K. FORD,5606
3,2019 Municipal General - 2/26/19,Mayoral candidates 8-14,NEAL SALES-GRIFFIN,1523
4,2019 Municipal General - 2/26/19,Mayoral candidates 8-14,LORI LIGHTFOOT,97667
5,2019 Municipal General - 2/26/19,Mayoral candidates 8-14,ROBERT ''BOB'' FIORETTI,4302
6,2019 Municipal General - 2/26/19,Mayoral candidates 8-14,JOHN KENNETH KOZLAR,2349
